Democratische Republiek Congo,Land,DR Congo,Afrika,Land,Congolese keuken,"Poulet à la Moambé; Fufu","Saka-saka; Liboke","De Congolese keuken gebruikt veel cassave, palmnoten en lokale groenten. Fufu is een dagelijks basisgerecht.","Cassave; palmnoten; kip; vis","Bantu; Centraal-Afrikaans"
Republiek Congo,Land,Republiek Congo,Afrika,Land,Congolese keuken,"Moambe kip; Saka-saka","Liboke","De keuken lijkt sterk op die van DR Congo met veel palmnootgerechten en cassaveproducten.","Palmnoten; cassavebladeren; vis; kip","Bantu; Frans"
Ivoorkust,Land,Ivoorkust,Afrika,Land,West-Afrikaanse keuken,"Attiéké; Kedjenou","Aloko; Jollof rice","Attiéké is een couscousachtige bereiding van gefermenteerde cassave. Kedjenou is een langzaam gegaarde kipstoofpot.","Cassave; kip; banaan; vis","West-Afrikaans; Frans"
Djibouti,Land,Djibouti,Afrika,Land,Hoorn van Afrika keuken,"Skoudehkaris; Fah-fah","Sambusa","Djiboutische gerechten combineren Somalische, Arabische en Franse invloeden.","Rijst; lam; vis; kruiden","Somalisch; Arabisch; Frans"
Egypte,Land,Egypte,Afrika,Land,Nijlkeuken,"Koshari; Ful medames; Molokhia","Ta'amiya; Mahshi","Egypte heeft een van de oudste voedseltradities ter wereld. Koshari combineert rijst, pasta, linzen en tomatensaus.","Rijst; linzen; tuinbonen; knoflook","Oud-Egyptisch; Arabisch; Ottomaans"
Eritrea,Land,Eritrea,Afrika,Land,Hoorn van Afrika keuken,"Zigni; Injera","Shiro; Tibs","De Eritrese keuken lijkt sterk op de Ethiopische keuken en draait rond injera, een gefermenteerd platbrood. Zigni is een pittige stoofpot met vlees en berbere-kruiden.","Teff; rundvlees; linzen; chili; kruiden","Tigrinya; Ethiopisch; Italiaans"
Eswatini,Land,Eswatini,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Sishwala; Emasi","Umncweba; Tinkhobe","De keuken van Eswatini gebruikt veel maïs, sorghum en traditionele zuivelproducten. Sishwala is een stevige pap die dagelijks wordt gegeten.","Maïs; sorghum; melk; vlees","Swazi; Zuidelijk-Afrikaans"
Ethiopië,Land,Ethiopië,Afrika,Land,Hoorn van Afrika keuken,"Doro wat; Injera","Kitfo; Shiro","De Ethiopische keuken is beroemd om gedeelde maaltijden rond injera. Doro wat is een pittige kipstoofpot met eieren.","Teff; kip; linzen; boter; berbere","Ethiopisch; Eritrees; Arabisch"
Gabon,Land,Gabon,Afrika,Land,Centraal-Afrikaanse keuken,"Poulet Nyembwe","Moambe; Visgerechten","Poulet Nyembwe is kip bereid met palmnotensaus. Het gerecht is een belangrijk symbool van de Gabonese keuken.","Kip; palmnoten; cassave; vis","Bantu; Frans"
Gambia,Land,Gambia,Afrika,Land,West-Afrikaanse keuken,"Domoda; Benachin","Yassa; Mafé","Domoda is een pindastoofpot die vaak met rijst wordt gegeten. Benachin is een Gambiaanse versie van jollofrijst.","Pinda; rijst; tomaat; vlees; vis","Mandinka; West-Afrikaans; Brits"
Ghana,Land,Ghana,Afrika,Land,West-Afrikaanse keuken,"Jollofrijst; Fufu; Banku","Waakye; Kelewele","De Ghanese keuken gebruikt veel zetmeelrijke gerechten gecombineerd met rijke soepen. Jollofrijst is een van de bekendste West-Afrikaanse gerechten.","Rijst; cassave; bakbanaan; pinda; chili","Akan; West-Afrikaans; Brits"
Guinee,Land,Guinee,Afrika,Land,West-Afrikaanse keuken,"Poulet yassa; Riz gras","Maafé; Fufu","De keuken van Guinee combineert rijstgerechten met pittige sauzen. Poulet yassa gebruikt veel ui en citroen.","Rijst; kip; pinda; cassave","West-Afrikaans; Frans"
Guinee-Bissau,Land,Guinee-Bissau,Afrika,Land,West-Afrikaanse keuken,"Caldo de mancarra","Jollofrijst; Visstoof","Caldo de mancarra is een pindastoofpot met Portugese en Afrikaanse invloeden.","Pinda; vis; kip; rijst","Portugees; West-Afrikaans"
Kenia,Land,Kenia,Afrika,Land,Oost-Afrikaanse keuken,"Nyama choma; Ugali","Pilau; Sukuma wiki","Nyama choma is gegrild vlees en een belangrijk sociaal gerecht. Ugali is een dagelijkse maïsbasis.","Maïs; rundvlees; geit; groenten","Swahili; Oost-Afrikaans; Brits"
Lesotho,Land,Lesotho,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Motoho; Papa","Likhoehlane","De Lesothaanse keuken draait rond granen en eenvoudige maaltijden. Papa is een maïspap die met sauzen wordt gegeten.","Maïs; sorghum; bonen","Basotho; Zuidelijk-Afrikaans"
Liberia,Land,Liberia,Afrika,Land,West-Afrikaanse keuken,"Cassavabladstoofpot; Jollofrijst","Palm butter soup","Liberiaanse gerechten gebruiken veel bladeren, rijst en palmproducten. De keuken heeft ook Amerikaanse invloeden door de geschiedenis van het land.","Cassavebladeren; rijst; palmolie; vis","West-Afrikaans; Amerikaans"
Libië,Land,Libië,Afrika,Land,Maghrebijnse keuken,"Couscous; Shakshuka","Bazeen; Harira","De Libische keuken combineert Noord-Afrikaanse en Mediterrane tradities. Couscous wordt vaak met lam en groenten gegeten.","Couscous; lam; dadels; kruiden","Berbers; Arabisch; Italiaans"
Madagaskar,Land,Madagaskar,Afrika,Land,Indische Oceaan keuken,"Romazava; Ravitoto","Mofo; Akoho sy voanio","De keuken van Madagaskar combineert Afrikaanse, Aziatische en Franse invloeden. Rijst vormt de basis van vrijwel elke maaltijd.","Rijst; cassavebladeren; vlees; kokos","Austronesisch; Afrikaans; Frans"
Malawi,Land,Malawi,Afrika,Land,Oost-Afrikaanse keuken,"Nsima; Chambo","Ndiwo; Bonenstoof","Nsima is een dikke maïspap die dagelijks wordt gegeten. Chambo is een bekende vis uit het Malawimeer.","Maïs; vis; bonen; groenten","Bantu; Oost-Afrikaans"
Mali,Land,Mali,Afrika,Land,Sahel-keuken,"Maafé; Tiguadege na","Tô; Couscous","De Malinese keuken gebruikt veel granen en pindasauzen. Maafé is een rijke stoofpot met vlees en pinda's.","Pinda; rijst; gierst; vlees","Mande; Sahel; Arabisch"
Mauritanië,Land,Mauritanië,Afrika,Land,Maghrebijnse/Sahel keuken,"Thieboudienne; Couscous","Mechoui; Thee-cultuur","De keuken combineert Arabische, Berberse en West-Afrikaanse tradities. Vis en rijst zijn belangrijk door de Atlantische kust.","Rijst; vis; lam; couscous","Moorse; Berberse; West-Afrikaans"
Mauritius,Land,Mauritius,Afrika,Land,Indische Oceaan keuken,"Dholl puri; Rougaille","Vindaye; Briyani","Mauritiaanse keuken is een mix van Indiase, Afrikaanse, Chinese en Franse invloeden. Dholl puri is een populaire gevulde flatbread.","Linzen; rijst; kokos; vis; kruiden","Indiaas; Creools; Frans; Chinees"
Marokko,Land,Marokko,Afrika,Land,Maghrebijnse keuken,"Tajine; Couscous; Pastilla","Harira; Msemen","De Marokkaanse keuken combineert Berberse, Arabische en Andalusische tradities. Specerijen zoals saffraan, kaneel en komijn zijn belangrijk.","Lam; couscous; kikkererwten; kruiden","Berbers; Arabisch; Andalusisch"
Mozambique,Land,Mozambique,Afrika,Land,Zuidelijk-Afrikaanse/Indische Oceaan keuken,"Matapa; Piri-piri kip","Chamussas; Xima","De keuken combineert Portugese koloniale invloeden met Afrikaanse en Indiase smaken. Kokos en chili spelen een grote rol.","Kokos; cassavebladeren; kip; zeevruchten","Portugees; Swahili; Indiaas"
Namibië,Land,Namibië,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Kapana; Oshifima","Braaivleis; Biltong","Namibische keuken combineert traditionele Afrikaanse gerechten met Duitse en Zuid-Afrikaanse invloeden.","Vlees; maïs; wild; vis","Herero; Duits; Zuid-Afrikaans"
Niger,Land,Niger,Afrika,Land,Sahel-keuken,"Dambou; Tuwo","Jollofrijst; Couscous","De keuken van Niger gebruikt vooral granen, vlees en eenvoudige stoofgerechten. Dambou lijkt op couscous en wordt met groenten gegeten.","Gierst; sorghum; rijst; vlees","Hausa; Toeareg; Sahel"
Nigeria,Land,Nigeria,Afrika,Land,West-Afrikaanse keuken,"Jollofrijst; Egusi soep; Pounded yam","Suya; Moi moi","De Nigeriaanse keuken is een van de invloedrijkste keukens van West-Afrika. Jollofrijst is een wereldwijd bekend rijstgerecht met tomaat en kruiden.","Rijst; yam; cassave; pinda; chili; vlees","Yoruba; Hausa; Igbo; West-Afrikaans"
Rwanda,Land,Rwanda,Afrika,Land,Grote Meren keuken,"Isombe; Brochettes","Ugali; Ibihaza","De Rwandese keuken gebruikt veel groenten, bonen en lokale gewassen. Brochettes zijn populaire gegrilde vleesspiesjes.","Cassavebladeren; maïs; bonen; geit","Bantu; Oost-Afrikaans"
São Tomé en Príncipe,Land,São Tomé en Príncipe,Afrika,Land,Atlantische eilandkeuken,"Calulu","Fish stew; Banana gerechten","Calulu is een visstoofpot met groenten en palmolie. De keuken combineert Portugese en Afrikaanse tradities.","Vis; palmolie; banaan; groenten","Portugees; West-Afrikaans"
Senegal,Land,Senegal,Afrika,Land,West-Afrikaanse keuken,"Thieboudienne; Yassa","Mafé; Ceebu jën","Thieboudienne wordt vaak gezien als het nationale gerecht van Senegal. Het bestaat uit rijst, vis en groenten.","Rijst; vis; tomaat; pinda; ui","Wolof; West-Afrikaans; Frans"
Seychellen,Land,Seychellen,Afrika,Land,Indische Oceaan keuken,"Viscurry; Octopus curry","Ladob; Rougaille","De Seychelse keuken combineert Afrikaanse, Franse, Indiase en Chinese invloeden. Zeevruchten en kokos zijn essentieel.","Vis; kokos; chili; rijst","Creools; Frans; Indiaas"
Sierra Leone,Land,Sierra Leone,Afrika,Land,West-Afrikaanse keuken,"Cassavabladstoofpot; Jollofrijst","Groundnut stew","De keuken gebruikt veel rijst en rijke sauzen. Cassavebladeren worden vaak gecombineerd met vis of vlees.","Cassavebladeren; rijst; pinda; vis","Mende; Temne; Brits"
Somalië,Land,Somalië,Afrika,Land,Hoorn van Afrika keuken,"Canjeero; Bariis iskukaris","Sambusa; Suqaar","De Somalische keuken combineert Afrikaanse, Arabische en Indiase invloeden. Rijstgerechten met kruiden zijn zeer populair.","Rijst; vlees; kardemom; ghee; meel","Somalisch; Arabisch; Indiaas"
Zuid-Afrika,Land,Zuid-Afrika,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Bobotie; Braai; Pap","Bunny chow; Biltong","De Zuid-Afrikaanse keuken weerspiegelt Afrikaanse, Nederlandse, Maleisische en Indiase invloeden. Braai is zowel een kookstijl als sociale traditie.","Vlees; maïs; kruiden; specerijen","Zulu; Afrikaans; Maleis; Indiaas"
Zuid-Soedan,Land,Zuid-Soedan,Afrika,Land,Nijlkeuken,"Ful; Kisra; Asida","Stews; Ugali","De keuken gebruikt granen, peulvruchten en stoofgerechten. Kisra is een traditioneel gefermenteerd platbrood.","Sorghum; bonen; vlees; granen","Nilotisch; Arabisch; Oost-Afrikaans"
Soedan,Land,Soedan,Afrika,Land,Nijlkeuken,"Ful medames; Asida","Mulahwaja; Kisra","De Soedanese keuken combineert Arabische en Afrikaanse tradities. Ful is een populair dagelijks ontbijt.","Tuinbonen; sorghum; vlees; kruiden","Nubisch; Arabisch; Oost-Afrikaans"
Tanzania,Land,Tanzania,Afrika,Land,Oost-Afrikaanse keuken,"Ugali; Pilau; Nyama choma","Zanzibar pizza; Mishkaki","Tanzaniaanse gerechten combineren Afrikaanse, Arabische en Indiase invloeden. Pilau weerspiegelt de geschiedenis van de Swahilikust.","Maïs; rijst; vlees; kokos; kruiden","Swahili; Indiaas; Arabisch"
Togo,Land,Togo,Afrika,Land,West-Afrikaanse keuken,"Fufu; Akoumé","Pâte; Grills","De Togolese keuken gebruikt veel maïs, cassave en pittige sauzen. Fufu wordt gegeten met rijke soepen.","Cassave; maïs; vis; chili","Ewe; West-Afrikaans"
Tunesië,Land,Tunesië,Afrika,Land,Maghrebijnse keuken,"Couscous; Brik","Harissa; Ojja","De Tunesische keuken staat bekend om pittige smaken en Mediterrane invloeden. Brik is een dun deeggerecht gevuld met ei of tonijn.","Couscous; tonijn; chili; olijfolie","Arabisch; Berbers; Mediterraan"
Oeganda,Land,Oeganda,Afrika,Land,Oost-Afrikaanse keuken,"Matoke; Luwombo","Rolex; Posho","Matoke is een gerecht van gestoomde groene bananen. Luwombo is een traditionele stoofpot bereid in bananenbladeren.","Banaan; pinda; kip; maïs","Bantu; Oost-Afrikaans"
Zambia,Land,Zambia,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Nshima; Ifisashi","Chikanda","Nshima is een dagelijkse maïsbasis. Ifisashi combineert groenten met pindasaus.","Maïs; pinda; groenten; vlees","Bemba; Bantu"
Zimbabwe,Land,Zimbabwe,Afrika,Land,Zuidelijk-Afrikaanse keuken,"Sadza; Dovi","Muriwo; Mopane wormen","Sadza is een stevige maïspap die bij bijna elke maaltijd wordt gegeten. Dovi is een pindastoofpot.","Maïs; pinda; vlees; groenten","Shona; Ndebele"
Westelijke Sahara,Betwist gebied,Marokko/Sahrawi Arabische Democratische Republiek,Afrika,Betwist gebied,Sahrawi keuken,"Couscous; Meifrisa","Theeceremonie; Taguella","De Sahrawi keuken combineert nomadische woestijntradities met Noord-Afrikaanse invloeden. Couscous en broodgerechten zijn belangrijk.","Couscous; lam; dadels; thee","Sahrawi; Berbers; Arabisch"
Somaliland,Gedeeltelijk erkende staat,Somalië,Afrika,Gedeeltelijk erkende staat,Hoorn van Afrika keuken,"Canjeero; Bariis","Suqaar; Sambusa","Somaliland deelt veel culinaire tradities met Somalië. Kruidenrijke rijst en broodgerechten zijn dagelijkse kost.","Rijst; vlees; meel; kardemom","Somalisch; Arabisch"
Réunion,Frans overzees departement,Frankrijk,Afrika/Indische Oceaan,Overzees gebied,Creoolse keuken,"Cari; Rougail saucisse","Samoussas; Bouchons","De keuken van Réunion combineert Franse, Indiase, Chinese en Afrikaanse invloeden. Cari is een kruidige stoofpot.","Rijst; worst; kokos; chili","Frans; Tamil; Creools; Chinees"
Mayotte,Frans overzees departement,Frankrijk,Afrika/Indische Oceaan,Overzees gebied,Comorese keuken,"Mataba; Pilao","Viscurry","Mayotte deelt veel voedseltradities met de Comoren. Kokos, vis en rijst zijn belangrijke ingrediënten.","Cassavebladeren; kokos; vis; rijst","Comorees; Frans; Swahili"
Sint-Helena,Brits overzees gebied,Verenigd Koninkrijk,Afrika/Atlantische Oceaan,Overzees gebied,Eilandkeuken,"Fish cakes; Plo","Stews","De keuken combineert Britse eilandtradities met lokale visgerechten.","Vis; aardappel; rijst","Brits; Atlantisch"
Ceuta,Spaanse autonome stad,Spanje,Afrika,Autonome regio,Mediterrane keuken,"Pinchos morunos; Couscous","Tapas; Visgerechten","Ceuta heeft een mix van Spaanse, Marokkaanse en Mediterrane keukens.","Vlees; couscous; vis; kruiden","Spaans; Marokkaans"
Melilla,Spaanse autonome stad,Spanje,Afrika,Autonome regio,Mediterrane keuken,"Pastela; Couscous","Tapas; Zeevruchten","Melilla combineert Spaanse en Noord-Afrikaanse culinaire tradities.","Kip; amandelen; vis; kruiden","Spaans; Maghrebijns"
Azawad,Bewogen/betwiste regio,Mali,Afrika,Historische regio,Sahel keuken,"Taguella; Couscous","Thee; geitenvlees","De Toeareg-regio gebruikt traditionele woestijngerechten gebaseerd op granen en vlees.","Gierst; meel; geit; dadels","Toeareg; Berbers; Sahel"
Afghanistan,Land,Afghanistan,Azië,Land,Centraal-Aziatische keuken,"Kabuli palaw; Mantu","Ashak; Bolani","De Afghaanse keuken combineert Perzische, Centraal-Aziatische en Zuid-Aziatische invloeden. Kabuli palaw is een rijstgerecht met wortel, rozijnen en vlees en geldt als nationaal symbool.","Rijst; lam; wortel; rozijnen; yoghurt; kruiden","Perzisch; Pashtun; Centraal-Aziatisch"
Armenië,Land,Armenië,Azië/Europa,Land,Kaukasische keuken,"Khorovats; Dolma; Harissa","Lavash; Ghapama","De Armeense keuken is een van de oudste keukentradities van de Kaukasus. Khorovats is gegrild vlees dat vaak bij feestelijke gelegenheden wordt gegeten.","Vlees; aubergine; granen; yoghurt; kruiden","Kaukasisch; Perzisch; Ottomaans"
Azerbeidzjan,Land,Azerbeidzjan,Azië/Europa,Land,Kaukasische keuken,"Plov; Dolma","Qutab; Dushbara","De Azerbeidzjaanse keuken combineert Turkse, Perzische en Kaukasische tradities. Plov is een rijk rijstgerecht met saffraan en verschillende varianten.","Rijst; lam; saffraan; kruiden; groenten","Turks; Perzisch; Kaukasisch"
Bahrein,Land,Bahrein,Azië,Land,Golfkeuken,"Machboos; Muhammar","Harees; Balaleet","De Bahreinse keuken is gebaseerd op rijst, vis en specerijen. Machboos is een gekruid rijstgerecht met vlees of zeevruchten.","Rijst; vis; kardemom; saffraan; vlees","Arabisch; Perzisch; Golf"
Bangladesh,Land,Bangladesh,Azië,Land,Bengaalse keuken,"Ilish bhapa; Kacchi biryani","Panta bhat; Hilsa curry","De Bengaalse keuken draait rond rijst en vis. Hilsa is een iconische vissoort die cultureel sterk verbonden is met Bangladesh.","Rijst; vis; mosterd; chili; linzen","Bengaals; Mughal; Zuid-Aziatisch"
Bhutan,Land,Bhutan,Azië,Land,Himalayakeuken,"Ema datshi","Phaksha paa; Momos","Ema datshi is een pittig gerecht van chilipepers en kaas en wordt gezien als nationaal gerecht. De keuken gebruikt veel chili als groente.","Chili; kaas; rijst; varkensvlees","Tibetaans; Himalaya"
Brunei,Land,Brunei,Azië,Land,Zuidoost-Aziatische keuken,"Ambuyat","Nasi katok; Soto Brunei","Ambuyat is een traditioneel gerecht gemaakt van sagopalmzetmeel. Het wordt gegeten met sauzen en bijgerechten.","Sago; vis; rijst; kokos","Maleis; Borneo; Islamitisch"
Cambodja,Land,Cambodja,Azië,Land,Zuidoost-Aziatische keuken,"Fish amok; Kuy teav","Bai sach chrouk; Nom banh chok","Fish amok is een gestoomde viscurry met kokos en kruiden. De keuken gebruikt veel verse kruiden en gefermenteerde ingrediënten.","Vis; kokos; citroengras; rijst","Khmer; Indiaas; Chinees"
China,Land,China,Azië,Land,Oost-Aziatische keuken,"Peking eend; Dumplings; Kung Pao kip","Mapo tofu; Hotpot","China heeft geen enkel officieel nationaal gerecht vanwege de enorme regionale diversiteit. De keuken omvat onder andere Sichuan, Cantonese, Shandong en Jiangsu tradities.","Rijst; noedels; soja; groenten; vlees","Han-Chinees; regionaal; Mongools"
Cyprus,Land,Cyprus,Azië/Europa,Land,Mediterrane keuken,"Souvla; Halloumi; Meze","Sheftalia; Kleftiko","De Cypriotische keuken combineert Griekse, Turkse en Mediterrane tradities. Meze bestaat uit een reeks kleine gerechten om te delen.","Kaas; lam; olijfolie; groenten","Grieks; Turks; Levantijns"
Georgië,Land,Georgië,Azië/Europa,Land,Kaukasische keuken,"Khachapuri; Khinkali","Lobio; Mtsvadi","De Georgische keuken staat bekend om brood, kaas en dumplings. Khachapuri is gevuld brood met kaas en wordt overal gegeten.","Tarwe; kaas; vlees; walnoten; kruiden","Kaukasisch; Perzisch; Russisch"
India,Land,India,Azië,Land,Zuid-Aziatische keuken,"Biryani; Thali; Khichdi","Dosa; Butter chicken","India heeft geen enkel nationaal gerecht door de enorme regionale verschillen. Biryani en thali zijn internationaal bekende voorbeelden van de diversiteit.","Rijst; linzen; specerijen; groenten; yoghurt","Hindoe; Mughal; Perzisch; regionaal"
Indonesië,Land,Indonesië,Azië,Land,Zuidoost-Aziatische keuken,"Nasi goreng; Rendang; Satay","Gado-gado; Soto","De Indonesische keuken bestaat uit honderden regionale keukens. Rendang uit West-Sumatra wordt vaak genoemd als een van de bekendste gerechten.","Rijst; kokos; chili; vlees; kruiden","Austronesisch; Chinees; Indiaas; Arabisch"
Iran,Land,Iran,Azië,Land,Perzische keuken,"Chelow kebab; Ghormeh sabzi","Fesenjan; Tahdig","De Iraanse keuken heeft een duizenden jaren oude geschiedenis. Ghormeh sabzi is een kruidige stoofpot met bonen en vlees.","Rijst; kruiden; lam; saffraan; noten","Perzisch; Centraal-Aziatisch"
Irak,Land,Irak,Azië,Land,Mesopotamische keuken,"Masgouf; Dolma","Quzi; Kubba","Masgouf is gegrilde vis en een nationaal symbool van Irak. De keuken heeft wortels in de oude Mesopotamische beschaving.","Vis; rijst; dadels; vlees; kruiden","Mesopotamisch; Arabisch; Perzisch"
Israël,Land,Israël,Azië,Land,Levantijnse keuken,"Falafel; Shakshuka; Sabich","Hummus; Jachnun","Israël heeft geen officieel nationaal gerecht, maar falafel en hummus zijn sterk verbonden met de moderne keuken. De keuken combineert Joodse diaspora-keukens met Levantijnse tradities.","Kikkererwten; tahini; groenten; brood","Levantijns; Joods; Midden-Oosters"
Japan,Land,Japan,Azië,Land,Oost-Aziatische keuken,"Sushi; Ramen; Curry rice","Tempura; Kaiseki","De Japanse keuken staat bekend om balans, seizoensproducten en precisie. Sushi is wereldwijd het bekendste Japanse gerecht.","Rijst; vis; soja; zeewier; noedels","Japans; Chinees; boeddhistisch"
Jemen,Land,Jemen,Azië,Land,Arabische keuken,"Saltah; Mandi","Fahsa; Bint al-sahn","De Jemenitische keuken gebruikt veel kruiden, rijst en langzaam bereid vlees. Saltah is een traditionele stoofpot met fenugreek-schuimsaus.","Vlees; rijst; fenegriek; brood; kruiden","Arabisch; Ethiopisch; Ottomaans"
Jordanië,Land,Jordanië,Azië,Land,Levantijnse keuken,"Mansaf; Zarb","Falafel; Maqluba","Mansaf is een traditioneel feestgerecht met lam, rijst en yoghurtsaus. Het wordt vaak gezien als hét nationale gerecht van Jordanië.","Lam; rijst; yoghurt; noten","Bedoeïen; Levantijns; Arabisch"
Kazachstan,Land,Kazachstan,Azië,Land,Centraal-Aziatische keuken,"Beshbarmak; Kazy","Baursak; Kuyrdak","Beshbarmak is het bekendste Kazachse gerecht en bestaat uit gekookt vlees met noedels. De keuken heeft een sterke nomadische traditie waarin vlees en zuivel centraal staan.","Paardenvlees; lam; deeg; zuivel","Turks; Mongools; Russisch"
Kirgizië,Land,Kirgizië,Azië,Land,Centraal-Aziatische keuken,"Beshbarmak; Plov","Manty; Lagman","De Kirgizische keuken is gevormd door nomadische veehouders. Gerechten met vlees, deeg en melkproducten zijn zeer belangrijk.","Lam; paardenvlees; meel; yoghurt","Kirgizisch; Turks; Russisch"
Noord-Korea,Land,Noord-Korea,Azië,Land,Koreaanse keuken,"Naengmyeon; Kimchi","Bibimbap; Mandu","De Noord-Koreaanse keuken deelt veel tradities met Zuid-Korea. Naengmyeon, koude boekweitnoedels, is sterk verbonden met Pyongyang.","Noedels; rijst; kool; chili; vlees","Koreaans; Chinees"
Zuid-Korea,Land,Zuid-Korea,Azië,Land,Koreaanse keuken,"Kimchi; Bibimbap; Bulgogi","Japchae; Tteokbokki","Kimchi is een gefermenteerd groentegerecht dat bij vrijwel elke maaltijd wordt gegeten. Bibimbap combineert rijst met groenten, vlees en ei.","Rijst; kool; chili; soja; sesam","Koreaans; Chinees; Japans"
Koeweit,Land,Koeweit,Azië,Land,Golfkeuken,"Machboos; Mutabbaq samak","Harees; Gabout","De Koeweitse keuken is gebaseerd op rijst, vis en specerijen. Machboos is een gekruid rijstgerecht met vlees of vis.","Rijst; vis; saffraan; kardemom; vlees","Arabisch; Perzisch; Golf"
Laos,Land,Laos,Azië,Land,Zuidoost-Aziatische keuken,"Larb; Sticky rice","Tam mak hoong; Khao piak sen","Larb is een pittige salade met gehakt vlees of vis en kruiden. Kleefrijst is de belangrijkste basis van de Laotiaanse keuken.","Rijst; kruiden; limoen; chili; vlees","Lao; Thai; Khmer"
Libanon,Land,Libanon,Azië,Land,Levantijnse keuken,"Kibbeh; Hummus; Tabbouleh","Shawarma; Manakish","De Libanese keuken is een van de bekendste Levantijnse keukens. Kleine gerechten om te delen, mezze, vormen een belangrijk onderdeel.","Kikkererwten; bulgur; olijfolie; kruiden","Levantijns; Arabisch; Ottomaans"
Maleisië,Land,Maleisië,Azië,Land,Zuidoost-Aziatische keuken,"Nasi lemak; Laksa","Rendang; Satay","Nasi lemak is rijst gekookt in kokosmelk en wordt vaak gezien als nationaal gerecht. De keuken combineert Maleise, Chinese en Indiase tradities.","Kokos; rijst; chili; vis; kruiden","Maleis; Chinees; Indiaas"
